accountsservice 0.6.55-1
acpi 1.7-2
acpid 2.0.32-1
adapta-maia-theme 3.94.0.149-2
alsa-firmware 1.0.29-2
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
amd-ucode 20190926.c0590d8-1
arandr 0.1.10-3
atool 0.39.0-6
autoconf 2.69-5
automake 1.16.1-1
autorandr 1.8.1-1
b43-fwcutter 019-2
bash 5.0.011-1
bc 1.07.1-3
binutils 2.32-2
bison 3.4-1
bmenu 0.5-3
bookworm 1.1.2-1
brandr 0.2-3
breeze-maia-icon-themes 5.62.0-1
bspwm-manjaro 0.9.7-5
bspwm-ruler 0.1-1
bspwm-scripts 0.39-1
bspwm-wallpapers 20180522-2
btrfs-progs 5.2.2-1
bzip2 1.0.8-2
bzr 2.7.0-3
caja 1.22.2-1
calibre 3.48.0-1
cantata 2.3.3-2
clonezilla 3.27.16-2
cmatrix 2.0-1
code 1.38.1-1
compton 7.4-1
coreutils 8.31-1
cpupower 5.3-1
crda 4.14-2
cronie 1.5.4-2
crypto++ 8.2.0-1
cryptsetup 2.2.1-1.1
cups-filters 1.25.6-1
cups-pdf 3.0.1-4
dash 0.5.10.2-1
dbus-x11 1.12.16-3
dconf 0.34.0-1
deezloader-remix-git 4.2.1.r87.gca2d9f7-1
delayed-hibernation 0.2-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
devilspie 0.23-2
dfc 3.1.1-1
dhclient 4.4.1-4
dhcpcd 7.2.2-1
diffutils 3.7-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-4
dosfstools 4.1-2
downgrade 6.2.1-1
doxygen 1.8.16-1
dunstify 1.4.1-2
e2fsprogs 1.45.4-1
ecryptfs-utils 111-3
efibootmgr 16-1
entr 4.3-1
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
faad2 2.8.8-1
fakeroot 1.24-1
feh 3.2.1-1
ffmpeg 1:4.2.1-2
ffmpegthumbnailer 2.2.0-2
figlet 2.2.5-3
file 5.37-2
file-roller 3.32.2-1
filesystem 2018.9-3
findutils 4.7.0-1
firefox 69.0.1-1
firejail 0.9.60-1
flex 2.6.4-2
font-manager-git 0.7.5.r54.gc81f45a-1
foomatic-db 3:20190905-1
foomatic-db-gutenprint-ppds 5.3.3-1
foomatic-db-nonfree 3:20190905-1
foomatic-db-ppds 3:20190905-1
gawk 5.0.1-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gedit 3.34.0-1
gedit-plugins 3.34.0-1
gestures 0.2.2-3
gettext 0.20.1-2
glibc 2.29-4
glu 9.0.1-1
gnome-disk-utility 3.34.0-1
gnome-keyring 1:3.34.0-1.1
gnome-power-manager 3.32.0-1
gnome-system-monitor 3.32.1-1
gnome-usage 3.32.0-1
gparted 1.0.0-1
grep 3.3-1
groff 1.22.4-1
gtk-theme-breath 5.9.0-1
gtk3-classic 3.24.11-1
gtop 1.0.0-1
gucharmap 12.0.1-1
gufw 19.10.0-1
gutenprint 5.3.3-1
gvfs 1.42.0-1
gvfs-afc 1.42.0-1
gvfs-gphoto2 1.42.0-1
gvfs-mtp 1.42.0-1
gvfs-smb 1.42.0-1
gwaterfall 0.1-2
gzip 1.10-1
haveged 1.9.6-4
heroku-cli 7.30.0-2
hibernator 0.5-1
highlight 3.53-1
hplip-minimal 3.19.1-1
htop 2.2.0-2
inetutils 1.9.4-7
intel-ucode 20190918-1
inxi 3.0.36-1
iproute2 5.3.0-1
iptables 1:1.8.3-1
iputils 20190709-1
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
