a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.0-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
alembic 1.8.3-3
alsa-card-profiles 1:0.3.56-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
ant 1.10.12-1
aom 3.4.0-1
apache 2.4.54-1
appstream 0.15.5-1
apr 1.7.0-3
apr-util 1.6.1-9
arandr 0.1.10-7
arc-gtk-theme 20220405-1
arch-install-scripts 26-1
archiso 66-1
archlinux-keyring 20220831-1
argon2 20190702-4
aria2 1.36.0-1
asar 3.2.0-1
asciidoc 10.2.0-1
asciinema 2.2.0-2
aspell 0.60.8-2
at 3.2.5-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
atril 1.26.0-1
attica 5.97.0-1
attr 2.5.1-2
audit 3.0.8-1
augeas 1.13.0-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
baobab 42.0-1
barrier 2.4.0-1
barrier-headless 2.4.0-1
base 3-1
bash 5.1.016-1
bat 0.21.0-3
bc 1.07.1-4
bind 9.18.6-1
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
bleachbit 4.4.2-3
blender 17:3.2.2-1
blosc 1.21.1-2
bluez-libs 5.65-3
bluez-utils 5.65-3
bolt 0.9.3-1
boost-libs 1.79.0-1
botan 2.19.2-1
bottom 0.6.8-1
box2d 2.4.1-1
bpython 0.22.1-3
breeze-icons 5.97.0-1
bridge-utils 1.7.1-1
broadcom-wl 6.30.223.271-414
brotli 1.0.9-8
bspwm 0.9.10-2
btop 1.2.9-1
btrfs-progs 5.19-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
c-client 2007f-14
ca-certificates 20210603-1
ca-certificates-mozilla 3.82-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
caffeine-ng 4.0.2-1
cairo 1.17.6-2
cairomm 1.14.3-2
caja 1.26.1-1
calibre 6.4.0-1
cantarell-fonts 1:0.303.1-1
carla 2.5.0-1
cava 0.8.2-4
cblas 3.10.1-1
ccache 4.6.1-1
cdparanoia 10.2-8
ceph-libs 15.2.17-1
check 0.15.2-2
cheese 41.1-2
chmlib 0.40-6
chromaprint 1.5.1-4
chromium 105.0.5195.102-1
cifs-utils 7.0-1
clang 14.0.6-2
clinfo 3.0.21.02.21-1
clucene 2.3.3.4-12
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.24.1-1
cogl 1.22.8-2
colorpicker 1.0.f5d441a-2
compiler-rt 14.0.6-1
composer 2.4.1-1
containerd 1.6.8-1
containers-common 1:0.49.1-1
convertlit 1.8-10
copyq 6.2.0-2
coreutils 9.1-1
cpio 2.13-2
cracklib 2.9.7-2
